PoiID,FirstLevel,SecondLeve,ZoneID
768,18,165,35
769,7,157,35
770,5,159,35
771,13,4,31
772,13,4,31
773,13,4,31
774,12,60,31
775,11,114,31
776,16,52,31
777,8,71,31
778,16,52,31
779,12,78,31
780,12,78,62
781,3,24,62
782,8,56,62
783,0,145,62
784,16,52,62
785,3,24,62
786,13,57,62
787,16,52,62
788,17,20,62
789,19,173,62
790,16,109,21
791,16,161,21
792,0,145,21
793,13,4,21
794,17,15,21
795,10,99,21
796,16,52,21
797,2,125,21
798,2,125,21
799,12,128,21
800,7,157,75
801,8,89,75
802,12,131,75
803,1,7,75
804,1,18,75
805,20,177,75
806,13,4,75
807,8,56,75
808,11,118,75
809,0,145,75
810,0,145,53
811,13,4,53
812,3,24,53
813,4,179,53
814,5,159,53
815,4,19,53
816,8,56,53
817,12,131,53
818,13,4,53
819,13,4,53
820,12,131,23
821,8,56,23
822,12,131,23
823,0,145,23
824,8,56,23
825,2,119,23
826,13,150,23
827,12,131,23
828,2,119,23
829,12,55,23
830,5,44,44
831,12,78,44
832,7,29,44
833,5,44,44
834,2,119,44
835,4,19,44
836,5,44,44
837,5,44,44
838,3,24,44
839,8,140,44
840,13,64,36
841,0,145,36
842,8,71,36
843,9,93,36
844,5,155,36
845,5,155,36
846,7,48,36
847,7,157,36
848,16,52,36
849,5,155,60
850,7,137,60
851,4,19,60
852,7,29,60
853,20,177,60
854,12,55,60
855,4,19,60
856,8,56,60
857,12,131,60
858,0,145,60
859,8,56,54
860,0,146,54
861,11,116,54
862,5,155,54
863,19,173,54
864,11,116,54
865,13,49,54
866,0,146,54
867,8,56,54
868,8,56,54
869,5,155,57
870,16,52,57
871,3,24,57
872,13,156,57
873,8,56,57
874,16,160,57
875,20,177,57
876,16,52,57
877,16,52,57
878,20,81,57
879,0,145,59
880,7,66,59
881,7,48,59
882,12,78,59
883,4,179,59
884,11,117,59
885,1,164,59
886,0,145,59
887,0,145,59
888,4,37,59
889,7,157,88
890,19,174,88
891,20,81,88
892,6,13,88
893,8,56,88
894,7,157,88
895,1,18,88
896,3,24,88
897,19,173,88
898,16,52,88
899,4,19,29
900,3,24,29
901,8,56,29
902,16,52,29
903,16,52,29
904,3,24,29
905,4,19,29
906,1,18,29
907,16,162,29
908,5,159,29
909,7,157,19
910,19,173,19
911,3,24,19
912,20,177,19
913,4,37,19
914,20,81,19
915,3,24,19
916,20,175,19
917,20,81,19
918,7,122,19
919,3,24,83
920,5,155,83
921,3,24,83
922,12,130,83
923,12,128,83
924,5,44,83
925,0,146,83
926,18,165,83
927,12,141,83
928,3,24,83
929,5,155,65
930,8,56,65
931,20,81,65
932,12,131,65
933,3,24,65
934,12,131,65
935,11,117,65
936,20,177,65
937,6,33,65
938,7,157,65
939,12,78,78
940,7,157,78
941,12,120,78
942,5,44,78
943,0,145,78
944,4,19,78
945,16,52,78
946,3,24,78
947,5,159,78
948,16,160,78
949,12,128,33
950,12,78,33
951,10,94,33
952,2,119,33
953,2,119,33
954,9,92,33
955,3,24,33
956,5,155,33
957,1,164,33
958,16,52,64
959,6,13,64
960,5,159,64
961,3,24,64
962,6,13,64
963,0,144,64
964,11,116,64
965,5,159,64
966,7,157,64
967,5,155,64
968,13,4,56
969,13,4,56
970,9,67,56
971,13,57,56
972,12,131,56
973,17,15,56
974,4,179,56
975,4,19,56
976,16,59,56
977,13,156,56
978,1,18,195
979,12,131,195
980,10,27,195
981,7,157,195
982,0,146,195
983,6,13,195
984,16,52,195
985,12,78,195
986,13,4,195
987,18,165,195
988,13,156,339
989,0,145,339
990,13,172,339
991,18,165,339
992,4,179,339
993,1,18,339
994,8,65,339
995,4,179,339
996,6,32,339
997,4,179,339
998,16,52,89
999,8,56,89
1000,5,44,89
1001,13,49,89
1002,12,74,89
1003,11,116,89
1004,0,146,89
1005,4,19,89
1006,13,57,89
1007,5,155,89
1008,4,19,192
1009,6,13,192
1010,8,89,192
1011,4,19,192
1012,8,56,192
1013,4,179,192
1014,4,19,192
1015,6,32,192
1016,4,179,192
1017,16,162,192
1018,20,177,198
1019,4,179,198
1020,1,164,198
1021,2,12,198
1022,19,28,198
1023,4,179,198
1024,3,24,198
1025,12,131,198
1026,12,78,198
1027,5,44,198
1028,12,171,81
1029,3,24,81
1030,4,179,81
1031,8,56,81
1032,11,115,81
1033,12,170,81
1034,7,157,81
1035,12,120,81
1036,1,18,81
1037,6,62,81
1038,7,29,106
1039,7,29,106
1040,7,29,106
1041,18,165,106
1042,7,157,106
1043,7,157,106
1044,7,29,106
1045,7,157,106
1046,7,29,106
1047,3,24,106
1048,3,24,658
1049,1,83,658
1050,3,24,658
1051,4,179,658
1052,8,90,658
1053,4,179,658
1054,11,115,658
1055,11,115,658
1056,6,13,658
1057,8,90,658
1058,6,32,258
1059,13,156,258
1060,6,32,258
1061,6,32,258
1062,13,64,258
1063,6,32,258
1064,6,32,258
1065,0,145,258
1066,6,32,258
1067,12,78,258
1068,18,165,651
1069,1,7,651
1070,3,24,651
1071,14,69,651
1072,18,165,651
1073,13,64,651
1074,4,179,651
1075,1,7,651
1076,3,24,651
1077,12,128,651
1078,5,159,375
1079,13,4,375
1080,13,64,375
1081,13,64,375
1082,13,64,375
1083,6,32,375
1084,12,128,375
1085,13,64,375
1086,16,16,375
1087,13,64,375
1088,6,33,372
1089,20,81,372
1090,3,24,372
1091,3,24,372
1092,9,92,372
1093,3,24,372
1094,18,165,372
1095,3,24,372
1096,1,18,372
1097,6,33,372
1098,6,32,432
1099,3,24,432
1100,14,68,432
1101,7,157,432
1102,5,42,432
1103,6,32,432
1104,18,165,432
1105,4,36,432
1106,6,32,432
1107,3,24,432
1108,1,7,461
1109,18,165,461
1110,4,36,461
1111,3,24,461
1112,18,165,461
1113,18,165,461
1114,6,32,461
1115,7,157,461
1116,6,33,461
1117,4,36,461
1118,4,51,37
1119,19,174,37
1120,13,178,37
1121,3,24,37
1122,8,140,37
1123,4,19,37
1124,6,13,37
1125,13,64,37
1126,4,179,37
1127,4,179,37
1128,16,52,6
1129,16,52,6
1130,13,4,6
1131,16,70,6
1132,13,64,6
1133,13,150,6
1134,16,52,6
1135,1,7,6
1136,6,13,6
1137,7,48,6
1138,16,162,9
1139,16,52,9
1140,8,56,9
1141,4,179,9
1142,13,57,9
1143,13,172,9
1144,3,24,9
1145,3,24,9
1146,8,140,9
1147,3,24,9
1148,13,64,8
1149,7,29,8
1150,8,183,8
1151,4,19,8
1152,0,145,8
1153,19,174,8
1154,12,130,8
1155,5,155,8
1156,10,94,8
1157,16,52,8
1158,0,148,7
1159,12,23,7
1160,5,159,7
1161,19,108,7
1162,8,71,7
1163,12,130,7
1164,16,59,7
1165,16,52,7
1166,5,155,7
1167,16,52,7
1168,9,92,18
1169,4,36,18
1170,10,99,18
1171,10,99,18
1172,1,7,18
1173,12,78,18
1174,19,28,18
1175,3,24,18
1176,3,25,18
1177,20,177,18
1178,7,29,14
1179,5,159,14
1180,8,71,14
1181,7,66,14
1182,19,174,14
1183,7,137,14
1184,4,179,14
1185,8,56,14
1186,5,159,14
1187,3,24,14
1188,20,177,5
1189,17,15,5
1190,4,19,5
1191,8,56,5
1192,9,67,5
1193,12,107,5
1194,14,110,5
1195,4,179,5
1196,10,97,5
1197,8,90,5
1198,1,18,11
1199,7,157,11
1200,16,52,11
1201,13,64,11
1202,12,128,11
1203,8,90,11
1204,9,92,11
1205,4,37,11
1206,19,108,11
1207,8,56,11
1208,0,145,4
1209,1,7,4
1210,18,165,4
1211,9,67,4
1212,8,90,4
1213,4,179,4
1214,8,140,4
1215,8,90,4
1216,9,93,4
1217,18,165,4
1218,4,179,10
1219,13,64,10
1220,13,156,10
1221,3,24,10
1222,16,52,10
1223,9,93,10
1224,13,64,10
1225,13,156,10
1226,3,24,10
1227,18,165,10
1228,13,4,74
1229,3,24,74
1230,5,43,74
1231,0,148,74
1232,2,119,74
1233,16,52,74
1234,8,56,74
1235,5,44,74
1236,16,52,74
1237,0,146,74
1238,19,108,32
1239,10,63,32
1240,4,179,32
1241,13,64,32
1242,16,52,32
1243,9,147,32
1244,20,177,32
1245,10,94,32
1246,2,119,32
1247,12,78,32
1248,5,155,67
1249,7,86,67
1250,18,165,67
1251,13,154,67
1252,13,154,67
1253,16,52,67
1254,16,52,67
1255,16,52,67
1256,12,78,67
1257,16,59,67
1258,18,165,73
1259,5,142,73
1260,14,68,73
1261,12,23,73
1262,20,177,73
1263,20,81,73
1264,1,18,73
1265,7,157,73
1266,3,24,73
1267,5,44,73
1268,20,81,46
1269,4,179,46
1270,20,81,46
1271,3,24,46
1272,8,3,46
1273,19,174,46
1274,10,99,46
1275,10,63,46
1276,10,105,46
1277,13,156,46
1278,5,45,39
1279,5,14,39
1280,6,13,39
1281,12,23,39
1282,19,174,39
1283,7,157,39
1284,20,0,39
1285,5,142,39
1286,3,24,39
1287,1,18,39
1288,16,52,68
1289,12,131,68
1290,12,78,68
1291,3,24,68
1292,6,13,68
1293,13,4,68
1294,3,24,68
1295,5,155,68
1296,13,4,68
1297,16,52,68
1298,1,18,71
1299,19,28,71
1300,2,125,71
1301,4,19,71
1302,4,19,71
1303,3,24,71
1304,5,159,71
1305,9,92,71
1306,8,90,71
1307,3,24,71
1308,3,24,48
1309,13,4,48
1310,0,145,48
1311,9,93,48
1312,7,157,48
1313,0,145,48
1314,3,24,48
1315,4,19,48
1316,4,19,48
1317,13,4,48
1318,7,48,49
1319,8,56,49
1320,7,29,49
1321,10,94,49
1322,13,4,49
1323,7,157,49
1324,16,52,49
1325,4,19,49
1326,8,56,49
1327,7,29,49
1328,4,19,69
1329,0,145,69
1330,12,131,69
1331,16,16,69
1332,12,58,69
1333,12,74,69
1334,20,0,69
1335,0,145,69
1336,12,120,69
1337,0,145,69
1338,2,119,28
1339,20,81,28
1340,4,19,28
