source,target,weight
3533,4497,12.681575038057016
1161,1113,13.526503561410182
1112,1161,11.371542659979465
4543,4538,9.478720970895685
4543,4538,9.478720970895685
3534,3584,10.335053354625678
3534,3589,10.250653119194284
3584,3534,10.335053354625678
3589,3534,10.250653119194284
4612,4617,10.236999946706929
4558,3409,9.583367253065571
4558,3409,9.583367253065571
2123,2139,10.541296094417389
4521,4612,8.68450265396567
2139,2123,10.541296094417389
4463,4514,7.182714529567031
4497,3533,12.681575038057016
3583,3540,11.3775629921659
3540,3583,11.3775629921659
3596,3591,9.140011831119224
3596,3591,9.140011831119224
3614,3540,9.859154931168744
4521,4612,8.68450265396567
4521,4614,8.088654837102313
4579,4564,11.25235069939035
4465,3416,10.317230842222209
4514,4490,10.009159193287209
3416,4465,10.317230842222209
3540,3614,9.859154931168744
4463,4514,7.182714529567031
4564,4579,11.25235069939035
2122,2120,11.355095707215447
2120,2122,11.355095707215447
3535,3596,8.88938914129681
3535,3596,8.88938914129681
4583,4445,10.172541493625852
4445,4583,10.172541493625852
3620,3371,12.378984477049189
4549,4542,8.54345536882131
4614,4521,8.088654837102313
3620,3371,12.378984477049189
2173,2109,10.06381946208494
4549,4542,8.54345536882131
3508,3620,7.20138074317364
3620,3508,7.20138074317364
2109,2173,10.06381946208494
2175,2116,13.04229330707284
2116,2175,13.04229330707284
3514,3553,8.891251645840828
3553,3514,8.891251645840828
4556,4483,8.171106074056333
2152,2161,10.99682871359584
2161,2152,10.99682871359584
4556,4483,8.171106074056333
2111,2084,8.56965578422237
3613,3619,8.58189432573908
3619,3613,8.58189432573908
3576,3619,9.600900515142332
3554,3576,9.824789167812916
2111,2084,8.56965578422237
3576,3554,9.824789167812916
3576,3619,9.600900515142332
3552,3562,6.73148793933569
3552,3562,6.73148793933569
2163,2127,8.030905879530136
2127,2163,8.030905879530136
5569,5416,10.389224668878724
5416,5569,10.389224668878724
1100,1159,8.921458129719932
1100,1159,8.921458129719932
1100,1109,8.102055761315174
5496,4433,9.131970929974276
4433,5496,9.131970929974276
1109,1100,8.102055761315174
4433,5416,8.341633878087244
5416,4433,8.341633878087244
4494,5547,9.725417547121223
3580,3547,9.340281976687024
4494,5547,9.725417547121223
4496,4577,8.662505155398797
474,1163,10.207401939562653
474,1163,10.207401939562653
4496,4494,8.172613743853049
5474,5414,10.230733777086424
3580,3547,9.340281976687024
5474,5414,10.230733777086424
5319,5570,10.384821525785132
5570,5319,10.384821525785132
2147,2118,7.605934603027303
4496,4577,8.662505155398797
1193,617,7.884229987877028
5393,5495,10.968250239889295
4444,4588,6.159630834119025
5393,5495,10.968250239889295
1193,617,7.884229987877028
5479,5393,9.1137527269685
4444,3272,6.021628962418188
4444,4588,6.159630834119025
3272,4588,8.112302497452557
3542,3580,5.5169913559125865
5479,5393,9.1137527269685
5272,5512,11.59092407973967
1110,573,6.673451438652568
5512,5272,11.59092407973967
5452,5405,10.75886155229322
5405,5452,10.75886155229322
3272,4444,6.021628962418188
5417,5555,10.958810222607198
5504,5417,10.499950448027937
1201,670,6.8207519942593455
4611,3272,8.12515645629672
4611,4588,7.698733194815411
4611,3272,8.12515645629672
4588,3272,8.112302497452557
670,1201,6.8207519942593455
4496,4494,8.172613743853049
5535,5412,11.235209605352788
5412,5535,11.235209605352788
5417,5504,10.499950448027937
5537,5410,11.818240789196937
573,1110,6.673451438652568
5417,5555,10.958810222607198
5537,5410,11.818240789196937
5359,5561,9.664921594568076
5561,5359,9.664921594568076
5368,5396,10.417815483985336
5396,5368,10.417815483985336
4611,4588,7.698733194815411
3580,3542,5.5169913559125865
508,580,7.685726363418015
508,580,7.685726363418015
4582,3277,9.536819248258803
5493,5182,10.163006567080975
5182,5493,10.163006567080975
633,455,12.731875997454091
633,455,12.731875997454091
4525,4582,9.378064252581536
3492,4525,7.420602009106891
5375,5544,6.184595635813557
